complaint,sentiment,category
New road signs installed in Linking Road. Very helpful for drivers.,0,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Anna Salai.,1,Pothole
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Severe flooding on Rajiv Chowk road every time it rains. Pathetic!,2,Traffic Light Issue
The road on SV Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Road sign missing near MG Road school zone. Children at risk!,2,Sign Missing/Damaged
No streetlights on Connaught Place road. Very unsafe at night!,2,Sign Missing/Damaged
traffic light at mg road is broken for 2 weeks. very dangerous!,2,Traffic Light Issue
street lighting improved on connaught place road. feeling safer now.,0,Road Damage
The municipality has announced repairs for Old Airport Road road next week.,1,Road Damage
the municipality has announced repairs for old airport road road next week.,1,Traffic Light Issue
Road widening project at Anna Salai is going well. Good job!,0,Traffic Light Issue
Speed limit has been changed to 40 kmph near Linking Road.,1,Flooding
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Road Damage
Traffic signal at Gandhi Nagar is under maintenance.,1,Illegal Parking
Huge pothole on SV Road road causing accidents. No action taken!,2,Pothole
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Flooding
Road widening project at Connaught Place is going well. Good job!,0,Sign Missing/Damaged
Traffic lights at SV Road junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Flooding
Road diversion in effect near Gandhi Nagar due to pipeline work.,1,Illegal Parking
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Road Damage
The road in Anna Salai is full of potholes. Government please fix!,2,Flooding
Traffic light at Brigade Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Sign Missing/Damaged
The road on Linking Road is completely damaged. Immediate repair needed!,2,Road Damage
the municipality has announced repairs for old airport road road next week.,1,Other
Road closure scheduled for Old Airport Road bypass for bridge inspection.,1,Pothole
Road sign missing near Connaught Place school zone. Children at risk!,2,Pothole
Road widening project at Old Airport Road is going well. Good job!,0,Road Damage
The new road markings on Linking Road street are very clear.,0,Road Damage
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Road diversion in effect near Anna Salai due to pipeline work.,1,Sign Missing/Damaged
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Pothole
Severe flooding on Linking Road road every time it rains. Pathetic!,2,Flooding
Road damage near Brigade Road hospital is causing problems for ambulances!,2,Pothole
The road in Old Airport Road has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
The municipality has announced repairs for MG Road road next week.,1,Illegal Parking
Road diversion in effect near Brigade Road due to pipeline work.,1,Noise Pollution
Traffic signal at Old Airport Road is under maintenance.,1,Sign Missing/Damaged
There is construction work happening on Connaught Place road.,1,Sign Missing/Damaged
The new road markings on Nehru Street street are very clear.,0,Road Damage
New traffic rules implemented at Gandhi Nagar junction from today.,1,Flooding
The pothole on Gandhi Nagar road was fixed quickly. Thank you!,0,Other
Severe flooding on Rajiv Chowk road every time it rains. Pathetic!,2,Flooding
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Traffic Light Issue
No streetlights on Old Airport Road road. Very unsafe at night!,2,Pothole
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Pothole
Traffic chaos at Nehru Street due to broken signal. Needs urgent fix!,2,Pothole
New road signs installed in Rajiv Chowk. Very helpful for drivers.,0,Sign Missing/Damaged
Traffic chaos at SV Road due to broken signal. Needs urgent fix!,2,Road Damage
Road widening project at Gandhi Nagar is going well. Good job!,0,Other
No streetlights on MG Road road. Very unsafe at night!,2,Traffic Light Issue
Huge pothole on SV Road road causing accidents. No action taken!,2,Traffic Light Issue
Road diversion in effect near Linking Road due to pipeline work.,1,Noise Pollution
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
traffic chaos at rajiv chowk due to broken signal. needs urgent fix!,2,Sign Missing/Damaged
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Traffic Light Issue
Appreciate the fast response to the complaint about Nehru Street road.,0,Other
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Pothole
Road sign missing near Connaught Place school zone. Children at risk!,2,Flooding
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Road diversion in effect near Connaught Place due to pipeline work.,1,Pothole
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
The road in Old Airport Road is full of potholes. Government please fix!,2,Traffic Light Issue
Speed limit has been changed to 40 kmph near Gandhi Nagar.,1,Other
new road signs installed in rajiv chowk. very helpful for drivers.,0,Road Damage
traffic light at linking road is broken for 2 weeks. very dangerous!,2,Sign Missing/Damaged
Traffic chaos at Gandhi Nagar due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Appreciate the fast response to the complaint about MG Road road.,0,Traffic Light Issue
The new road markings on Anna Salai street are very clear.,0,Sign Missing/Damaged
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Road Damage
No streetlights on Linking Road road. Very unsafe at night!,2,Flooding
New traffic rules implemented at Connaught Place junction from today.,1,Sign Missing/Damaged
Appreciate the fast response to the complaint about Brigade Road road.,0,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Nehru Street.,1,Other
The road in Old Airport Road is full of potholes. Government please fix!,2,Road Damage
Road widening project at Rajiv Chowk is going well. Good job!,0,Road Damage
severe flooding on nehru street road every time it rains. pathetic!,2,Flooding
Road sign missing near Nehru Street school zone. Children at risk!,2,Flooding
Road sign missing near MG Road school zone. Children at risk!,2,Pothole
The road on Connaught Place is completely damaged. Immediate repair needed!,2,Road Damage
Garbage dumped on Rajiv Chowk road. Municipality is not cleaning!,2,Flooding
Severe flooding on MG Road road every time it rains. Pathetic!,2,Sign Missing/Damaged
Road diversion in effect near Gandhi Nagar due to pipeline work.,1,Traffic Light Issue
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Sign Missing/Damaged
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Road widening project at Connaught Place is going well. Good job!,0,Road Damage
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Flooding
Traffic chaos at Gandhi Nagar due to broken signal. Needs urgent fix!,2,Pothole
Road widening project at Nehru Street is going well. Good job!,0,Other
Severe flooding on Nehru Street road every time it rains. Pathetic!,2,Traffic Light Issue
Road closure scheduled for Nehru Street bypass for bridge inspection.,1,Illegal Parking
Road widening project at MG Road is going well. Good job!,0,Sign Missing/Damaged
Road sign missing near Old Airport Road school zone. Children at risk!,2,Traffic Light Issue
Traffic chaos at Nehru Street due to broken signal. Needs urgent fix!,2,Flooding
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Pothole
The municipality has announced repairs for SV Road road next week.,1,Other
Appreciate the fast response to the complaint about Anna Salai road.,0,Sign Missing/Damaged
Traffic signal at Gandhi Nagar is under maintenance.,1,Pothole
Traffic lights at Old Airport Road junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
The road in MG Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Severe flooding on SV Road road every time it rains. Pathetic!,2,Traffic Light Issue
Street lighting improved on Nehru Street road. Feeling safer now.,0,Sign Missing/Damaged
The road in Gandhi Nagar has been repaired. Excellent work by the municipality!,0,Road Damage
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Pothole
Street lighting improved on SV Road road. Feeling safer now.,0,Traffic Light Issue
Traffic signal at SV Road is under maintenance.,1,Pothole
There is construction work happening on Gandhi Nagar road.,1,Traffic Light Issue
New traffic rules implemented at Linking Road junction from today.,1,Pothole
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Huge pothole on Brigade Road road causing accidents. No action taken!,2,Sign Missing/Damaged
Garbage dumped on SV Road road. Municipality is not cleaning!,2,Traffic Light Issue
New traffic rules implemented at MG Road junction from today.,1,Other
Traffic light at Brigade Road is broken for 2 weeks. Very dangerous!,2,Pothole
Road damage near Old Airport Road hospital is causing problems for ambulances!,2,Flooding
Traffic chaos at SV Road due to broken signal. Needs urgent fix!,2,Road Damage
The road on Connaught Place is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Road widening project at SV Road is going well. Good job!,0,Other
Speed limit has been changed to 40 kmph near Old Airport Road.,1,Traffic Light Issue
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Traffic Light Issue
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Pothole
road sign missing near old airport road school zone. children at risk!,2,Pothole
New road signs installed in Old Airport Road. Very helpful for drivers.,0,Other
The municipality has announced repairs for Connaught Place road next week.,1,Flooding
Appreciate the fast response to the complaint about MG Road road.,0,Traffic Light Issue
Road closure scheduled for Rajiv Chowk bypass for bridge inspection.,1,Flooding
Road damage near Old Airport Road hospital is causing problems for ambulances!,2,Road Damage
Appreciate the fast response to the complaint about Old Airport Road road.,0,Road Damage
The pothole on Linking Road road was fixed quickly. Thank you!,0,Other
The road in Old Airport Road is full of potholes. Government please fix!,2,Road Damage
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Flooding
Speed limit has been changed to 40 kmph near Old Airport Road.,1,Sign Missing/Damaged
Severe flooding on MG Road road every time it rains. Pathetic!,2,Road Damage
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Road sign missing near MG Road school zone. Children at risk!,2,Pothole
Traffic lights at Linking Road junction are working perfectly now. Great improvement!,0,Other
